LOCAL TIME ,CLASSES
LOCAL TIME ,CLASSES
LOCAL TIME ,CLASSES
2023-03-30 13:57:05,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:06,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:06,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:07,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:08,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:09,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:10,[          1]
LOCAL TIME ,CLASSES
2023-03-30 13:57:11,[          1]
LOCAL TIME ,CLASSES
2023-03-30 13:57:12,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:13,[          0]
LOCAL TIME ,CLASSES
2023-03-30 13:57:14,[          0]
LOCAL TIME ,CLASSES
2023-03-30 13:57:15,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:16,[          1]
LOCAL TIME ,CLASSES
2023-03-30 13:57:16,[          1]
LOCAL TIME ,CLASSES
2023-03-30 13:57:17,[          3]
LOCAL TIME ,CLASSES
2023-03-30 13:57:18,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:18,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:19,[          3]
LOCAL TIME ,CLASSES
2023-03-30 13:57:20,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:20,[          3]
LOCAL TIME ,CLASSES
2023-03-30 13:57:21,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:22,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:23,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:24,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:24,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:25,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:26,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:27,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:27,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:28,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:29,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:30,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:30,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:31,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:32,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:32,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:33,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:34,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:35,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:35,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:36,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:37,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:37,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:38,[          1]
LOCAL TIME ,CLASSES
2023-03-30 13:57:39,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:40,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:40,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:41,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:42,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:42,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:43,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:44,[          1]
LOCAL TIME ,CLASSES
2023-03-30 13:57:44,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:45,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:46,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:46,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:47,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:48,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:49,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:49,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:50,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:51,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:52,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:52,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:53,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:54,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:54,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:55,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:56,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:57,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:57,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:58,[]
LOCAL TIME ,CLASSES
2023-03-30 13:57:59,[]
LOCAL TIME ,CLASSES
2023-03-30 13:58:17,[]
LOCAL TIME ,CLASSES
2023-03-30 13:58:17,[]
LOCAL TIME ,CLASSES
2023-03-30 13:58:18,[]
LOCAL TIME ,CLASSES
2023-03-30 13:58:19,[          0]
LOCAL TIME ,CLASSES
2023-03-30 13:58:20,[          0]
LOCAL TIME ,CLASSES
2023-03-30 13:58:20,[          0]
LOCAL TIME ,CLASSES
2023-03-30 13:58:21,[]
LOCAL TIME ,CLASSES
2023-03-30 13:58:22,[]
LOCAL TIME ,CLASSES
2023-03-30 13:58:23,[]
LOCAL TIME ,CLASSES
2023-03-30 13:58:23,[]
