Local Time,Classes
2023-05-04 09:25:18 AM,closed eyes
2023-05-04 09:43:08 AM,closed eyes
2023-05-04 09:43:10 AM,closed eyes
2023-05-04 09:43:14 AM,mobile
2023-05-04 09:43:15 AM,mobile
2023-05-04 09:43:37 AM,mobile
2023-05-04 09:43:38 AM,mobile
2023-05-04 09:43:39 AM,mobile
2023-05-04 09:43:40 AM,mobile
2023-05-04 09:43:41 AM,mobile
2023-05-04 09:43:41 AM,mobile
2023-05-04 09:43:42 AM,yawning
2023-05-04 09:43:43 AM,yawning
2023-05-04 09:43:44 AM,mobile
2023-05-07 06:25:37 PM,closed eyes
2023-05-07 06:25:38 PM,closed eyes
2023-05-07 06:25:39 PM,closed eyes
2023-05-07 06:25:42 PM,mobile
2023-05-07 06:25:43 PM,mobile
2023-05-07 06:25:44 PM,mobile
2023-05-07 06:25:45 PM,mobile
2023-05-07 06:25:46 PM,mobile
2023-05-07 06:25:48 PM,yawning
2023-05-07 06:25:49 PM,yawning
2023-05-07 06:27:56 PM,mobile
2023-05-07 06:27:57 PM,mobile
2023-05-07 06:27:58 PM,mobile
2023-05-07 06:27:59 PM,mobile
2023-05-07 06:28:00 PM,[]
2023-05-07 06:28:01 PM,mobile
2023-05-07 06:28:02 PM,mobile
2023-05-07 06:28:03 PM,mobile
2023-05-07 06:28:03 PM,mobile
2023-05-07 06:30:06 PM,closed eyes
2023-05-07 06:30:10 PM,closed eyes
2023-05-07 06:30:13 PM,yawning
2023-05-07 06:30:14 PM,yawning
2023-05-07 06:30:14 PM,closed eyes
2023-05-07 06:30:15 PM,closed eyes
2023-05-07 06:30:23 PM,mobile
2023-05-07 06:30:24 PM,mobile
2023-05-07 06:30:26 PM,closed eyes
